dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,Incoming_Visitor_home_census_blocks,POI_risk_final
STELVIO TRANSPORT LLC,92108,60730087022,"{""060730153021"":4,""060730071001"":4}",{},COURIERS,FRAZEE RD,"{'06073015302': 4, '06073007100': 4}",0.375760555
STEPH DOAN HAIR,92117,60730091022,"{""060730170292"":4,""060730027021"":4,""060730170202"":4,""060730083401"":4,""060730085012"":4}","{""060730166053"":4,""060730091042"":4,""060730085123"":4}",BEAUTY SALONS,CLAIREMONT DR,"{'06073017029': 4, '06073002702': 4, '06073017020': 4, '06073008340': 4, '06073008501': 4}",0.667770183
STEPHANIE KO ,92130,60730083291,"{""060730083281"":5,""060730083291"":4}","{""080410003022"":4}",OFFICES OF REAL ESTATE AGENTS & BROKERS,HIGH BLUFF DR,"{'06073008328': 5, '06073008329': 4}",0.244339993
STEPHANY NGUYEN,92110,60730065001,"{""060730056001"":8,""060730206023"":7,""060730083441"":6,""530530713042"":6,""060730215001"":5,""060730083541"":4,""060070031003"":4,""060730054002"":4,""060730101071"":4,""060730100053"":4,""060730176011"":4,""040131125101"":4,""060730170422"":4,""060730091072"":4,""060730085041"":4,""060730208092"":4,""040190043221"":4,""060730031073"":4,""060730032093"":4,""060730083542"":4,""060650435072"":4,""060730101104"":4,""060650419061"":4,""060730068021"":4,""060730203061"":4,""060730133102"":4,""060730133101"":4,""060730068022"":4,""060730068011"":4,""060730068023"":4,""060730164025"":4,""060650427381"":4,""060730091011"":4,""060730141021"":4,""060730100012"":4}","{""060375438023"":10,""060730085111"":6,""060070031003"":4,""060730082001"":4,""060730089014"":4,""060730154044"":4,""060730100121"":4,""060730083461"":4,""060730173042"":4,""060730157013"":4,""060730165031"":4,""060730053003"":4,""060730133101"":4,""490490101131"":4,""060730154043"":4,""060730214001"":4,""060730204011"":4,""060730032084"":4,""060730100142"":4,""060730076005"":4,""060730100151"":4,""060650427381"":4,""060710100171"":4,""060730095111"":4,""060730170301"":4,""530330265001"":4,""060730043001"":4,""060730133102"":4,""060730166093"":4,""060650427331"":4,""060730197023"":4,""060730068011"":4,""060730068023"":4,""060730133141"":4,""060290054015"":4,""320030036211"":4,""060730117002"":4,""060730206023"":4,""060730170422"":4,""060730159022"":4,""060730074005"":4,""060730065001"":4,""060730032093"":4,""060730060001"":4,""060650446052"":4,""060730083542"":4,""060730025013"":4,""060710005043"":4,""060730101071"":4}",WOMEN'S CLOTHING STORES,SPORTS ARENA BLVD,"{'06073005600': 8, '06073020602': 7, '06073008344': 6, '53053071304': 6, '06073021500': 5, '06073008354': 4, '06007003100': 4, '06073005400': 4, '06073010107': 4, '06073010005': 4, '06073017601': 4, '04013112510': 4, '06073017042': 4, '06073009107': 4, '06073008504': 4, '06073020809': 4, '04019004322': 4, '06073003107': 4, '06073003209': 4, '06065043507': 4, '06073010110': 4, '06065041906': 4, '06073006802': 4, '06073020306': 4, '06073013310': 4, '06073006801': 4, '06073016402': 4, '06065042738': 4, '06073009101': 4, '06073014102': 4, '06073010001': 4}",0.999940694
STK SAN DIEGO,92101,60730053002,"{""150030016001"":6,""060730149012"":4,""060730088002"":4,""060372184001"":4,""060730088001"":4,""320030036182"":4}","{""060730053003"":5,""060730088001"":4,""060730100151"":4,""060372381002"":4,""060730149012"":4,""150030016001"":4,""040132168493"":4,""060650435122"":4}",FULL-SERVICE RESTAURANTS,F ST,"{'15003001600': 6, '06073014901': 4, '06073008800': 4, '06037218400': 4, '32003003618': 4}",0.37070015
STOKES LAW PC,92101,60730053001,"{""060730029022"":6,""060730058001"":4,""060730168101"":4,""060730053001"":4,""060730170102"":4,""060730052002"":4,""060371892012"":4}","{""060730053001"":4}",OFFICES OF LAWYERS,B ST,"{'06073002902': 6, '06073005800': 4, '06073016810': 4, '06073005300': 4, '06073017010': 4, '06073005200': 4, '06037189201': 4}",0.911694119
STONE KALFUS,92121,60730083501,"{""060730168074"":4,""060730083281"":4}","{""060730083281"":4,""060730083501"":4,""060730168074"":4}",LEGAL SERVICES,CARROLL CANYON RD,"{'06073016807': 4, '06073008328': 4}",0.325354683
STONE OVEN,92108,60730089022,{},{},LIMITED-SERVICE EATING PLACES,FRIARS RD,{},0
STONE SUMMITT HOMES LLC,92110,60730065002,"{""261251968002"":4}",{},OTHER ACTIVITIES RELATED TO REAL ESTATE,HORTENSIA ST,{'26125196800': 4},0
STONECO BUILDING GROUP INC,92101,60730051002,"{""060730056002"":7,""060730166073"":4,""060730003005"":4,""060730170553"":4}","{""060730162021"":4,""060730056002"":4,""060730170102"":4,""060730200271"":4}",ALL OTHER HEAVY CONSTRUCTION,10TH AVE,"{'06073005600': 7, '06073016607': 4, '06073000300': 4, '06073017055': 4}",0.79656726
STONECREST DENTAL GROUP AND ORTHODONTICS,92123,60730093064,"{""060730041004"":4,""060730134012"":4}","{""060730041004"":4}",OFFICES OF DENTISTS,MURPHY CANYON RD,"{'06073004100': 4, '06073013401': 4}",0.634625754
STRATA PROPERTIES LLC,92101,60730051002,{},{},OTHER ACTIVITIES RELATED TO REAL ESTATE,MARKET ST,{},0
STRATEGATI LLC,92110,60730066001,"{""060730069001"":5,""060730108002"":4,""060730170181"":4,""060730092021"":4,""060730133131"":4,""060590992441"":4}","{""060730068011"":4,""060730074004"":4,""060730170561"":4,""060730061001"":4,""060730108002"":4,""060730069001"":4,""060730214001"":4,""060730079031"":4,""060730085012"":4,""060730133131"":4}",CONSULTING SERVICES,MIDWAY DR,"{'06073006900': 5, '06073010800': 4, '06073017018': 4, '06073009202': 4, '06073013313': 4, '06059099244': 4}",0.641225383
STREAMZ LUXE AND LEISURE,91942,60730148062,"{""060730051002"":4,""060730168092"":4,""060730028011"":4}","{""060650507002"":4,""060730136044"":4}",RETAIL SALES VIA INTERNET/WEBSITES,ALVARADO RD,"{'06073005100': 4, '06073016809': 4, '06073002801': 4}",0.79581342
STREET DREAMIN,92110,60730065001,"{""060730056001"":8,""060730206023"":7,""060730083441"":6,""530530713042"":6,""060730215001"":5,""060730083541"":4,""060070031003"":4,""060730054002"":4,""060730101071"":4,""060730100053"":4,""060730176011"":4,""040131125101"":4,""060730170422"":4,""060730091072"":4,""060730085041"":4,""060730208092"":4,""040190043221"":4,""060730031073"":4,""060730032093"":4,""060730083542"":4,""060650435072"":4,""060730101104"":4,""060650419061"":4,""060730068021"":4,""060730203061"":4,""060730133102"":4,""060730133101"":4,""060730068022"":4,""060730068011"":4,""060730068023"":4,""060730164025"":4,""060650427381"":4,""060730091011"":4,""060730141021"":4,""060730100012"":4}","{""060375438023"":10,""060730085111"":6,""060070031003"":4,""060730082001"":4,""060730089014"":4,""060730154044"":4,""060730100121"":4,""060730083461"":4,""060730173042"":4,""060730157013"":4,""060730165031"":4,""060730053003"":4,""060730133101"":4,""490490101131"":4,""060730154043"":4,""060730214001"":4,""060730204011"":4,""060730032084"":4,""060730100142"":4,""060730076005"":4,""060730100151"":4,""060650427381"":4,""060710100171"":4,""060730095111"":4,""060730170301"":4,""530330265001"":4,""060730043001"":4,""060730133102"":4,""060730166093"":4,""060650427331"":4,""060730197023"":4,""060730068011"":4,""060730068023"":4,""060730133141"":4,""060290054015"":4,""320030036211"":4,""060730117002"":4,""060730206023"":4,""060730170422"":4,""060730159022"":4,""060730074005"":4,""060730065001"":4,""060730032093"":4,""060730060001"":4,""060650446052"":4,""060730083542"":4,""060730025013"":4,""060710005043"":4,""060730101071"":4}",SWAP MEET VENDOR,SPORTS ARENA BLVD,"{'06073005600': 8, '06073020602': 7, '06073008344': 6, '53053071304': 6, '06073021500': 5, '06073008354': 4, '06007003100': 4, '06073005400': 4, '06073010107': 4, '06073010005': 4, '06073017601': 4, '04013112510': 4, '06073017042': 4, '06073009107': 4, '06073008504': 4, '06073020809': 4, '04019004322': 4, '06073003107': 4, '06073003209': 4, '06065043507': 4, '06073010110': 4, '06065041906': 4, '06073006802': 4, '06073020306': 4, '06073013310': 4, '06073006801': 4, '06073016402': 4, '06065042738': 4, '06073009101': 4, '06073014102': 4, '06073010001': 4}",0.999940694
STRETCHLAB,92037,60730082003,"{""320030058542"":4,""060730083111"":4,""040130822032"":4,""040130610101"":4,""040138136001"":4,""060730083031"":4,""060730078001"":4,""060730082002"":4,""060650414092"":4,""060730170332"":4}","{""060730083492"":6,""060730139091"":4,""060730081022"":4,""060730083112"":4,""060730083111"":4,""040136116002"":4,""060650511001"":4,""060377010003"":4,""060730083031"":4,""060730078001"":4,""060730139032"":4,""060855110004"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,GIRARD AVE,"{'32003005854': 4, '06073008311': 4, '04013082203': 4, '04013061010': 4, '04013813600': 4, '06073008303': 4, '06073007800': 4, '06073008200': 4, '06065041409': 4, '06073017033': 4}",0.505347104
STRONG ARM CONSTRUCTION & COMPANY INC,92114,60730030013,"{""060730031072"":5,""490111254012"":5,""060730095021"":4,""060730146011"":4,""060730031012"":4,""060730092011"":4}",{},SINGLE-FAMILY HOUSING CONSTRUCTION,MARKET ST,"{'06073003107': 5, '49011125401': 5, '06073009502': 4, '06073014601': 4, '06073003101': 4, '06073009201': 4}",0.749147123
STRONGER TOGETHER COMMUNITY SERVICES,92123,60730085111,"{""060730020012"":5,""060730134092"":4,""060650504001"":4,""060730085111"":4,""060730159024"":4,""060730095054"":4,""060730095021"":4,""060730129001"":4}","{""060730085111"":12,""060730095021"":5,""060730095054"":5,""060730159024"":4}",OFFICES OF OTHER MENTAL HEALTH PRACTITIONERS,CLAIREMONT MESA BLVD,"{'06073002001': 5, '06073013409': 4, '06065050400': 4, '06073008511': 4, '06073015902': 4, '06073009505': 4, '06073009502': 4, '06073012900': 4}",0.879886246
STRONGHOLD FINANCIAL LLC,92130,60730083291,"{""060730171093"":4}",{},PORTFOLIO MANAGEMENT,HIGH BLUFF DR,{'06073017109': 4},0.126475821
STUDIO CARPRI DESIGNS,92121,60730083501,"{""060730083281"":5,""060730186081"":4,""060650432572"":4,""061110008002"":4,""060730023011"":4}","{""060730083401"":4,""060730186081"":4}",BEAUTY SALONS,MIRAMAR RD,"{'06073008328': 5, '06073018608': 4, '06065043257': 4, '06111000800': 4, '06073002301': 4}",0.623050731
STUDIO NINETY SIX,92111,60730085111,{},"{""060730085111"":35,""060730133131"":9,""060730083331"":7,""060730169014"":6,""060730083501"":6,""060730093061"":6,""060730215002"":5,""060730089013"":5,""060730166071"":5,""060730087022"":5,""060730085034"":5,""060730083391"":5,""060730170363"":5,""060730023012"":5,""060730170301"":5,""060730083352"":5,""340350507031"":4,""060730189043"":4,""060730094001"":4,""060730087012"":4,""060730203043"":4,""060730100142"":4,""060730096033"":4,""060730027111"":4,""060730093014"":4,""060670016002"":4,""060730088002"":4,""060730134202"":4,""040134225082"":4,""060730166102"":4,""060730136062"":4,""060730140022"":4,""060730134101"":4,""060730083401"":4,""060730027033"":4,""060730163022"":4,""060730083571"":4,""060730170374"":4,""060730167011"":4,""060730170461"":4,""060730083281"":4,""060730133101"":4,""060730095062"":4,""060730083273"":4,""060730085075"":4,""060730032132"":4,""060730078001"":4,""060730200131"":4,""381059537001"":4,""040133194022"":4,""060730204031"":4,""060710021101"":4,""060730150003"":4,""060730200223"":4,""060730133114"":4,""060730193013"":4,""060730208102"":4,""060590626332"":4,""060730152003"":4,""060730085055"":4,""060730113001"":4,""060730092011"":4,""060730095102"":4,""060730098054"":4,""060730085045"":4,""060730169021"":4,""060730135053"":4,""060730203061"":4,""060730135051"":4,""060730162021"":4,""060650507004"":4,""060730187001"":4,""480913104033"":4,""060730085011"":4,""060730092013"":4,""060730173051"":4,""040130822072"":4,""060730088001"":4,""060730170291"":4,""060730009001"":4,""060730170422"":4,""060730170061"":4,""060730087011"":4,""060730166171"":4,""060730083492"":4,""060730083602"":4,""060730200144"":4,""060730095061"":4,""060730200271"":4,""060730215001"":4,""060730085073"":4,""060730083592"":4,""060730083483"":4,""060730200211"":4,""060730170302"":4,""060730212051"":4,""060730051002"":4,""060730093053"":4,""060730198063"":4,""060730017003"":4,""060730170471"":4,""060730091072"":4,""060730095111"":4,""060730089011"":4,""060730134191"":4,""060730042002"":4,""060730020012"":4,""060730085094"":4,""060730031153"":4,""060730178132"":4,""060730083432"":4,""060730095103"":4,""060590320033"":4,""060730083583"":4,""060730032141"":4,""060730083502"":4,""060730170531"":4,""240098610042"":4,""060730095051"":4,""060730087021"":4,""060650496003"":4,""060730083584"":4,""060730170501"":4,""060650432401"":4,""060730083461"":4,""060730133111"":4,""060730148033"":4,""060730166051"":4,""060372051202"":4,""060730031113"":4,""060730083512"":4,""060730133141"":4,""060730083311"":4,""060730031112"":4,""060730170484"":4,""060730011001"":4,""060730165031"":4}","HAIR, NAIL & SKIN CARE SERVICES",KEARNY MESA RD,{},0
STUDIO REFORM PILATES LLC,92103,60730006003,"{""060730025013"":4,""060730008004"":4,""060730083331"":4,""060730018005"":4,""060730029022"":4,""060730194031"":4,""410670323001"":4}","{""060730170352"":6,""410670323001"":4,""060730020013"":4,""060710076041"":4,""060730085111"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,UNIVERSITY AVE,"{'06073002501': 4, '06073000800': 4, '06073008333': 4, '06073001800': 4, '06073002902': 4, '06073019403': 4, '41067032300': 4}",0.806681018
STUDIO SWEAT LLC,92127,60730170321,{},{},PERSONAL FITNESS TRAINER,WILLOW CT,{},0
STUDIO THAIRAPHY BY COLLEEN,92117,60730091022,"{""060730170292"":4,""060730027021"":4,""060730170202"":4,""060730083401"":4,""060730085012"":4}","{""060730166053"":4,""060730091042"":4,""060730085123"":4}",BEAUTY SHOPS - BOOTH RENTAL,CLAIREMONT DR,"{'06073017029': 4, '06073002702': 4, '06073017020': 4, '06073008340': 4, '06073008501': 4}",0.667770183
STUDIO TWENTY,92111,60730085111,{},"{""060730085111"":35,""060730133131"":9,""060730083331"":7,""060730169014"":6,""060730083501"":6,""060730093061"":6,""060730215002"":5,""060730089013"":5,""060730166071"":5,""060730087022"":5,""060730085034"":5,""060730083391"":5,""060730170363"":5,""060730023012"":5,""060730170301"":5,""060730083352"":5,""340350507031"":4,""060730189043"":4,""060730094001"":4,""060730087012"":4,""060730203043"":4,""060730100142"":4,""060730096033"":4,""060730027111"":4,""060730093014"":4,""060670016002"":4,""060730088002"":4,""060730134202"":4,""040134225082"":4,""060730166102"":4,""060730136062"":4,""060730140022"":4,""060730134101"":4,""060730083401"":4,""060730027033"":4,""060730163022"":4,""060730083571"":4,""060730170374"":4,""060730167011"":4,""060730170461"":4,""060730083281"":4,""060730133101"":4,""060730095062"":4,""060730083273"":4,""060730085075"":4,""060730032132"":4,""060730078001"":4,""060730200131"":4,""381059537001"":4,""040133194022"":4,""060730204031"":4,""060710021101"":4,""060730150003"":4,""060730200223"":4,""060730133114"":4,""060730193013"":4,""060730208102"":4,""060590626332"":4,""060730152003"":4,""060730085055"":4,""060730113001"":4,""060730092011"":4,""060730095102"":4,""060730098054"":4,""060730085045"":4,""060730169021"":4,""060730135053"":4,""060730203061"":4,""060730135051"":4,""060730162021"":4,""060650507004"":4,""060730187001"":4,""480913104033"":4,""060730085011"":4,""060730092013"":4,""060730173051"":4,""040130822072"":4,""060730088001"":4,""060730170291"":4,""060730009001"":4,""060730170422"":4,""060730170061"":4,""060730087011"":4,""060730166171"":4,""060730083492"":4,""060730083602"":4,""060730200144"":4,""060730095061"":4,""060730200271"":4,""060730215001"":4,""060730085073"":4,""060730083592"":4,""060730083483"":4,""060730200211"":4,""060730170302"":4,""060730212051"":4,""060730051002"":4,""060730093053"":4,""060730198063"":4,""060730017003"":4,""060730170471"":4,""060730091072"":4,""060730095111"":4,""060730089011"":4,""060730134191"":4,""060730042002"":4,""060730020012"":4,""060730085094"":4,""060730031153"":4,""060730178132"":4,""060730083432"":4,""060730095103"":4,""060590320033"":4,""060730083583"":4,""060730032141"":4,""060730083502"":4,""060730170531"":4,""240098610042"":4,""060730095051"":4,""060730087021"":4,""060650496003"":4,""060730083584"":4,""060730170501"":4,""060650432401"":4,""060730083461"":4,""060730133111"":4,""060730148033"":4,""060730166051"":4,""060372051202"":4,""060730031113"":4,""060730083512"":4,""060730133141"":4,""060730083311"":4,""060730031112"":4,""060730170484"":4,""060730011001"":4,""060730165031"":4}",BEAUTY SALONS,KEARNY MESA RD,{},0
STUDIO ZAUSCHER LLC,92111,60730085111,"{""060730020022"":5,""060730170484"":4,""060730085021"":4,""060730083332"":4}","{""060730085111"":4}",MOTION PICTURE & VIDEO INDUSTRIES,RUFFNER ST,"{'06073002002': 5, '06073017048': 4, '06073008502': 4, '06073008333': 4}",0.680623177
STUFF 2 PUFF,92107,60730075021,"{""060730015004"":4,""060730073012"":4,""060730102003"":4,""060730075013"":4,""360550115032"":4}","{""060730027023"":4,""060650427261"":4}",TOBACCO STORES,NEWPORT AVE,"{'06073001500': 4, '06073007301': 4, '06073010200': 4, '06073007501': 4, '36055011503': 4}",0.636996177
